Lap,stingray,bumble beamer,lazygt,tub life,fette vette,mystery machine WI,mini tesla,party machine,starz,american flyer,red baron,mystery machine NY,pillow fight
1,30.196,28.088,29.675,36.023,35.245,36.64,33.911,40.621,34.819,26.921,38.638,70.909,37.263
2,22.728,23.482,22.401,24.605,23.38,24.647,22.208,31.39,22.472,17.389,24.809,44.653,24.946
3,23.289,22.993,23.804,21.049,21.746,21.932,22.366,25.403,22.355,26.929,22.407,33.351,21.675
4,22.857,23.346,22.422,22.568,22.043,22.252,21.578,26.671,23.306,19.108,23.334,44.522,22.821
5,24.533,24.421,24.777,22.118,22.622,21.73,24.199,34.936,23.652,24.248,24.264,47.312,
6,28.907,27.815,27.468,29.022,34.33,33.848,31.574,29.419,33.941,19.685,30.536,38.42,
7,22.396,19.711,23.559,25.824,29.567,28.868,38.129,26.003,28.945,29.403,27.103,,
8,22.45,25.256,21.569,23.734,23.994,26.788,95.86,28.327,25.55,26.481,24.08,,
9,36.077,41.193,35.825,31.933,27.803,27.398,30.323,27.999,27.435,22.379,28.224,,
10,19.676,19.14,21.059,21.463,21.579,29.277,20.59,31.391,21.779,24.248,28.615,,
11,23.323,21.478,22.91,21.336,21.646,30.582,20.571,25.712,23.874,18.404,30.955,,
12,27.382,27.978,29.235,26.31,29.267,25.982,26.297,28.369,29.549,20.952,25.266,,
13,24.925,25.343,25.089,25.78,21.917,23.415,22.679,30.078,21.094,26.291,22.922,,
14,21.453,21.362,21.342,23.496,20.919,24.324,21.673,26.752,21.511,24.012,,,
15,21.605,21.491,21.255,24.726,24.068,20.463,25.213,25.463,26.382,16.277,,,
16,21.965,21.634,21.715,21.229,22.072,20.141,23.175,31.015,23.034,,,,
17,18.643,18.375,18.732,21.003,21.19,20.65,19.53,24.222,22.737,,,,
18,19.982,20.066,20.002,22.17,33.191,35.198,20.909,25.245,26.033,,,,
19,25.425,26.257,25.924,24.887,23.766,20.335,22.05,28.344,25.707,,,,
20,22.93,23.494,23.815,24.885,23.064,24.795,19.334,24.981,21.731,,,,
21,19.353,20.044,19.794,24.673,21.526,28.111,21.057,35.297,21.82,,,,
22,19.894,19.582,19.681,21.968,22.712,19.807,25.804,27.388,21.753,,,,
23,21.258,22.094,22.633,20.997,21.634,20.393,33.532,26.982,23.068,,,,
24,20.391,18.255,20.196,21.294,21.537,25.033,19.745,23.801,,,,,
25,21.016,20.668,19.221,24.874,21.734,24.333,22.984,24.317,,,,,
26,24.457,25.046,25.452,21.542,23.311,23.446,21.89,27.106,,,,,
27,18.933,18.22,20.401,21.707,23.904,21.068,20.684,25.317,,,,,
28,20.56,20.913,21.377,20.721,21.467,21.706,22.858,25.497,,,,,
29,18.359,18.419,21.059,20.838,21.893,20.186,20.174,25.67,,,,,
30,20.62,19.894,21.174,20.641,24.849,20.085,18.911,24.695,,,,,
31,18.807,18.886,22.581,24.416,22.44,20.413,18.503,26.878,,,,,
32,21.232,20.089,22.004,21.145,22.259,20.128,18.925,24.295,,,,,
33,18.807,18.719,21.206,20.699,22.073,20.007,26.69,,,,,,
34,19.138,19.079,22.145,20.5,21.728,21.114,20.409,,,,,,
35,17.965,18.079,20.917,20.617,22.708,20.253,19.512,,,,,,
36,18.901,19.156,23.965,21.052,21.778,19.629,,,,,,,
37,19.937,17.908,25.136,21.938,22.734,20.341,,,,,,,
38,18.639,18.24,23.364,20.819,,,,,,,,,
39,18.103,18.041,,,,,,,,,,,
40,17.915,20.942,,,,,,,,,,,
