Lap,stingray,dr quinn,ehouse mustang,minitesla,tokyo drift,Per Art,mystery machine RIT,Fubar 1,Apricar,dodge ram,mattstang,dragula,Space Trash
1,106.392,108.576,39.917,107.936,107.406,109.911,111.082,108.731,108.443,2922.835,107.989,591.581,109.857
2,17.904,21.468,87.518,20.573,18.908,23.921,24.238,24.261,21.904,18.043,21.385,22.868,24.469
3,17.107,19.609,17.568,23.109,16.049,22.219,23.198,20.204,20.168,19.329,19.144,21.202,22.072
4,17.325,18.758,17.395,20.028,17.386,19.372,23.942,19.274,18.586,20.524,17.884,20.889,21.9
5,17.661,18.187,17.571,19.132,19.206,18.031,22.746,19.174,18.192,17.58,19.151,23.824,22.859
6,17.569,18.554,21.32,17.925,19.726,23.14,23.086,22.467,18.802,19.449,19.06,19.207,24.362
7,18.775,18.457,20.788,18.699,16.043,20.455,22.659,20.612,20.334,18.571,18.272,30.801,22.455
8,17.913,19.142,18.301,19.535,23.417,18.506,23.637,20.967,20.034,16.915,19.109,19.439,136.998
9,19.584,18.188,18.242,17.73,17.767,19.914,22.469,20.851,17.365,18.787,17.811,18.51,22.733
10,18.821,18.497,19.835,18.178,17.896,22.327,25.255,20.637,18.23,18.275,21.082,18.551,
11,18.627,19.568,19.829,18.806,16.016,20.079,25.154,19.4,18.964,25.358,19.4,24.165,
12,16.853,20.481,20.206,21.94,16.2,19.855,21.553,19.687,21.794,17.299,22.031,35.844,
13,19.159,18.481,20.316,20.716,18.63,21.348,23.531,19.261,20.385,31.718,20.583,29.662,
14,20.699,19.489,20.025,21.105,21.629,19.473,22.31,19.658,19.704,17.701,45.238,331.909,
15,18.854,324.379,20.143,21.381,17.784,19.128,25.019,20.463,26.587,17.38,21.1,20.491,
16,21.635,19.603,19.489,20.051,21.857,33.277,24.471,18.98,20.924,18.857,21,27.192,
17,17.514,18.765,17.708,18.048,19.396,19.892,24.091,20.194,21.434,19.593,18.654,19.227,
18,18.059,17.177,20.85,17.961,16.358,19.498,23.664,19.23,288.954,17.602,18.029,20.891,
19,19.012,17.944,18.104,18.832,18.506,19.053,31.307,19.322,18.423,17.7,19.594,20.19,
20,17.487,18.626,19.227,18.862,17.68,22.922,22.083,20.225,17.034,17.879,154.273,20.714,
21,18.465,18.059,19.859,19.411,18.519,28.539,23.424,21.326,18.761,17.624,16.545,20.116,
22,18.987,21.73,21.534,19.498,18.965,19.233,22.484,20.765,39.293,20.113,20.239,21.883,
23,18.332,19.049,22.382,20.039,18.143,20.248,21.826,19.896,20.886,20.556,17.718,959.924,
24,18.734,18.535,18.663,18.03,19.09,23.849,23.349,18.943,19.416,17.989,18.549,23.723,
25,18.382,20.378,21.987,21.551,18.043,18.616,24.093,19.393,661.175,18.266,18.918,,
26,18.042,17.617,31.509,137.518,17.944,20.318,25.311,20.163,18.278,17.889,18.316,,
27,19.77,33.681,19.308,17.236,19.813,20.489,22.308,19.327,17.111,20.262,18.903,,
28,18.12,18.365,17.501,19.537,18.398,413.241,22.104,19.485,19.557,20.269,19.309,,
29,17.885,47.252,17.921,19.754,17.753,26.541,23.834,19.913,18.853,20.369,22.429,,
30,18.747,18.465,19.058,17.595,18.776,23.81,23.752,19.752,582.652,19.379,35.979,,
31,17.817,19.976,21.002,22.449,17.607,21.571,23.485,19.633,17.436,19.045,22.388,,
32,20.541,20.869,17.353,27.133,20.547,24.053,24.712,20.4,18.34,18.772,18.649,,
33,19.743,19.96,17.683,17.703,18.91,21.976,29.758,20.23,18.148,19.34,33.768,,
34,18.732,19.898,17.837,20.083,18.28,21.051,22.467,22.199,18.874,18.105,18.384,,
35,16.889,20.337,18.724,41.15,16.064,23.98,30.866,23.756,28.342,18.155,93.071,,
