Lap,tokyo drift,stingray,dr quinn,ehouse mustang,dragula,Fubar 1,minitesla,Livfree,Apricar,mystery machine RIT,red baron,Space Trash,mattstang,,
1,97.692,96.88,99.26,96.741,100.179,98.911,99.783,101.318,99.058,101.204,98.497,207.264,98.243,,
2,19.099,19.004,22.506,18.301,22.624,23.052,24.317,32.35,20.758,27.12,19.895,28.59,22.1,,
3,18.56,18.783,22.14,19.097,21.943,20.446,42.12,24.242,58.48,26.389,19.849,29.817,32.445,,
4,21.555,21.171,21.083,21.066,21.748,21.022,25.751,29.277,18.696,28.281,21.308,28.625,28.934,,
5,27.973,28.248,25.561,28.084,26.923,25.66,20.314,21.146,19.866,24.543,28.593,33.018,,,
6,21.816,21.232,20.26,20.53,20.958,21.376,23.207,23.662,55.243,33.319,21.296,29.498,,,
7,17.775,18.37,24.009,17.961,22.261,23.613,21.527,20.425,22.05,26.041,23.357,28.451,,,
8,19.949,20.025,20.923,20.453,22.202,20.277,20.653,21.611,19.757,28.171,20.312,28.013,,,
9,25.955,25.254,20.786,25.565,20.199,21.78,21.612,21.553,21.934,35.277,21.983,30.103,,,
10,21.345,22.292,21.292,23.077,20.987,21.99,26.997,27.934,23.778,36.088,21.493,,,,
11,18.315,17.949,29.341,17.958,27.81,30.92,19.771,24.326,22.187,22.66,27.671,,,,
12,24.396,24.062,21.327,23.213,21.983,22.062,21.14,20.943,21.551,28.842,20.513,,,,
13,23.332,23.662,21.551,27.179,21.205,20.971,22.616,51.061,31.928,31.689,20.543,,,,
14,21.072,18.128,20.603,21.117,20.35,20.634,24.513,28.122,20.148,32.866,20.351,,,,
15,18.489,19.328,28.283,18.011,38.693,41.144,28.209,21.597,20.963,30.514,28.023,,,,
16,35.026,37.079,24.27,35.093,20.38,21.074,20.206,37.289,21.29,24.513,,,,,
17,21.255,20.031,20.2,19.191,23.848,21.248,22.424,31.37,20.056,24.37,,,,,
18,20.802,23.558,22.715,22.124,30.44,23.122,22.336,26.042,20.451,32.011,,,,,
19,20.887,21.185,22.156,32.026,19.111,19.912,19.812,22.454,24.708,38.21,,,,,
20,18.192,19.936,21.906,19.537,19.191,20.351,20.443,35.433,47.975,24.736,,,,,
21,19.326,19.51,19.092,18.25,24.016,26.034,22.733,22.759,19.684,21.559,,,,,
22,28.231,21.128,21.781,23.265,32.01,22.58,19.691,20.657,18.969,24.489,,,,,
23,17.343,19.203,19.773,20.444,23.216,28.814,28.063,23.155,18.399,23.112,,,,,
24,18.506,19.467,26.541,31.106,20.075,21.164,22.261,26.942,63.64,,,,,,
25,22.105,22.704,20.539,19.958,21.463,26.941,20.654,20.727,,,,,,,
26,19.735,21.463,20.325,19.971,22.382,22.168,23.098,,,,,,,,
27,19.169,20.266,21.805,21.644,24.302,25.151,24.141,,,,,,,,
28,21.453,22.11,23.517,23.031,21.818,21.67,,,,,,,,,
29,22.406,22.837,25.995,26.511,,,,,,,,,,,
30,17.639,25.072,,,,,,,,,,,,,
