Lap,Gary,Raphael,Ecto1,Natural Log,Batmobile,Tokyo Drift,FrenchFryCart,Candy Cart,Lazy GT,Drifty Monster,Doctor Quin,Pillow Fight,Floridaman,Bumble Beemer,Gecko Cart
1,21.313,20.743,21.768,23.128,24.647,25.355,26.654,27.998,29.881,29.137,30.369,30.843,31.809,22.561,58.659
2,34.037,33.706,34.323,34.409,34.725,35.182,35.49,34.924,34.677,34.923,34.824,36.231,35.966,34.17,19.008
3,16.708,17.249,17.945,18.089,19.934,19.042,19.065,19.803,20.5,21.909,22.007,21.313,25.446,35.348,19.448
4,17.514,17.421,18.384,18.091,19.733,19.936,19.316,19.338,19.447,19.903,21.115,22.371,24.437,20.133,18.676
5,19.712,19.776,18.211,19.492,19.131,18.983,19.259,19.279,19.703,20.231,22.513,23.972,25.337,20.879,37.234
6,17.46,17.344,19.37,19.637,19.177,19.058,20.691,19.847,21.084,22.243,21.603,20.563,24.115,88.805,17.628
7,17.037,18.362,17.966,18.771,20.141,18.449,19.341,19.349,22.3,20.312,21.738,21.29,26.664,21.38,39.818
8,17.324,17.615,20.015,17.719,19.472,19.34,19.25,20.741,22.55,22.041,21.561,20.029,24.362,29.416,18.712
9,18.032,18.121,20.943,21.612,19.883,19.322,19.675,19.687,19.161,21.475,21.47,22.036,23.849,20.909,
10,17.422,18.548,17.966,19.659,19.744,19.986,20.702,19.533,20.621,21.004,20.786,20.837,30.142,19.916,
11,18.344,19.927,17.96,19.84,18.998,18.817,21.906,22.124,25.405,32.189,29.782,29.3,22.654,21.797,
12,17.086,19.569,19.005,27.786,30.588,29.847,28.281,28.04,22.103,21.975,21.58,21.727,23.062,21.435,
13,25.127,26.645,27.201,19.616,19.799,17.824,21.24,20.703,21.119,19.873,20.892,20.68,23.247,23.092,
14,17.852,17.18,20.778,19.92,19.18,17.959,20.67,21.611,21.827,20.182,22.743,23.603,24.35,20.696,
15,17.855,17.21,20.01,19.799,19.073,20.656,22.118,21.742,21.354,20.484,22.339,23.354,22.668,18.35,
16,19.622,19.474,22.347,18.395,19.225,18.548,22.083,21.574,22.771,21.947,23.33,22.862,22.747,19.127,
17,19.659,17.859,20.572,21.237,20.851,20.228,19.951,20.838,20.629,21.449,23.217,22.858,23.024,20.985,
18,16.732,21.029,17.717,20.475,19.28,20.41,19.597,19.476,20.655,21.509,22.707,21.741,24.231,22.123,
19,17.081,20.296,19.159,19.512,19.276,19.358,19.335,19.559,20.73,20.874,21.347,21.602,24.359,20.268,
20,17.726,19.385,18.14,19.493,19.651,19.087,19.972,19.802,21.582,20.352,21.626,21.745,22.211,20.816,
21,18.437,18.991,18.318,19.919,19.184,20.217,21.113,22.119,21.306,22.578,21.413,21.11,22.251,22.398,
22,17.258,18.815,19.417,21.251,19.04,20.812,21.601,20.069,20.952,21.232,21.363,21.25,23.048,20.135,
23,18.223,20.722,18.168,18.924,19.728,20.097,21.154,20.911,22.012,20.306,22.872,25.696,22.242,24.862,
24,18.84,19.305,18.433,18.79,19.548,21.065,20.35,20.339,23.601,20.215,22.528,20.42,26.055,,
25,18.241,17.166,19.38,18.532,20.682,20.748,20.291,20.169,20.294,20.271,21.045,22.705,,,
26,17.204,19.184,19.056,20.4,19.791,19.628,21.2,21.48,21.679,22.123,,,,,
27,19.027,17.992,18.347,19.882,22.342,21.63,21.205,21.158,,,,,,,
28,17.825,18.192,21.244,18.89,19.859,21.593,,,,,,,,,
29,17.329,18.095,19.993,27.801,,,,,,,,,,,
30,17.968,25.341,,,,,,,,,,,,,
31,25.011,,,,,,,,,,,,,,
