Lap,Raphael,Bumble Beemer,Ecto1,Natural Log,Tokyo Drift,Drifty Monster,Batmobile,Doctor Quin,Gecko Cart,FrenchFryCart,Floridaman,Gary,Candy Cart,Pillow Fight,Barbie Escalade
1,20.476,19.066,22.767,21.765,23.549,28.359,26.448,31.952,26.138,27.396,32.6,20.827,31.366,33.369,34.82
2,19.523,16.829,19.109,19.529,20.508,21.488,21.175,24.555,22.262,36.134,26.043,19.789,25.81,25.955,54.969
3,23.57,23.732,22.702,22.76,20.957,21.319,20.379,21.955,21.421,32.134,23.808,23.392,23.388,25.335,
4,20.138,23.367,31.773,32.705,32.31,27.939,29.87,23.353,28.919,25.162,27.875,180.992,24.012,26.471,
5,24.698,24.48,22.733,23.333,23.144,22.759,23.023,21.73,22.806,21.801,24.412,20.514,28.232,23.03,
6,20.691,20.237,18.415,18.011,19.873,21.93,20.604,22.344,21.84,20.809,23.258,24.023,23.755,21.282,
7,18.183,18.018,19.538,19.369,19.422,21.024,20.421,22.627,20.616,20.515,23.203,21.433,23.679,20.382,
8,18.374,19.03,21.091,21.14,21.179,21.177,20.316,21.398,21.644,21.578,23.294,20.097,23.268,20.974,
9,20.431,20.114,18.542,18.354,21.195,21.289,22.065,21.856,20.964,23.53,22.939,23.556,24.4,21.306,
10,19.88,20.195,18.679,18.721,19.629,22.285,21.9,21.094,23.385,24.649,23.147,23.036,25.533,20.533,
11,22.144,21.524,18.429,18.477,19.956,21.884,21.946,23.14,24.489,33.359,23.847,19.063,49.63,20.472,
12,19.139,19.41,20.598,20.573,19.386,20.863,20.492,24.648,25.475,20.523,23.349,20.791,50.186,28.816,
13,17.887,17.757,24.18,24.145,27.285,20.63,21.864,22.843,23.919,22.839,24.054,19.061,23.859,23.786,
14,23.909,24.866,19.036,19.378,22.128,19.49,21.102,22.778,23.057,25.212,23.676,21.91,108.448,34.587,
15,20.874,20.684,18.215,18.449,20.53,20.431,20.547,22,22.973,23.349,23.243,19.663,25.352,23.371,
16,18.976,19.805,20.034,19.562,24.226,23.674,24.056,22.082,21.289,26.81,24.086,19.442,25.954,,
17,20.555,20.56,20.915,20.755,22.835,23.766,23.412,22.298,22.186,26.523,24.943,20.298,25.346,,
18,19.189,19.297,22.807,22.851,20.923,26.878,27.259,21.911,23.022,21.211,24.493,20.601,62.152,,
19,17.941,17.834,26.436,26.445,20.62,25.896,24.841,21.416,20.669,21.973,25.248,19.86,,,
20,20.78,20.417,19.89,20.974,20.9,20.536,21.382,22.64,22.374,21.47,23.984,19.031,,,
21,22.796,21.897,19.123,18.263,20.014,21.034,21.59,21.716,21.71,23.113,23.663,21.194,,,
22,17.91,17.735,18.777,18.922,22.05,20.118,21.944,21.391,22.26,23.546,24.978,27.379,,,
23,18.27,17.95,19.189,18.856,21.85,20.486,22.921,22.94,25.476,23.809,32.552,,,,
24,18.532,21.1,19.221,19.732,23.91,23.616,21.262,23.325,21.577,23.38,31.529,,,,
25,19.066,21.1,19.062,22.166,20.902,23.714,22.743,24.603,23.921,25.495,24.153,,,,
26,24.057,21.1,21.29,18.972,23.159,21.518,24.37,23.316,23.486,,,,,,
27,18.43,21.1,21.406,23.177,20.428,20.873,24.25,21.956,27.643,,,,,,
28,23.536,21.1,20.457,20.761,24.533,23.739,22.303,,,,,,,,
29,20.403,20.341,18.712,19.556,,,,,,,,,,,
30,21.847,21.98,23.219,21.51,,,,,,,,,,,
