lap,mattstang,e house mustang,stingray,per art,caveman,red baron,fette vette,tub life,starz,space trash
1,99.917,96.703,30.906,101.768,98.033,97.885,100.538,99.077,99.379,101.033
2,52.715,44.706,65.436,44.154,41.857,49.448,47.951,65.555,48.593,1641.917
3,44.765,44.792,40.561,41.366,42.703,49.105,47.475,964.965,47.203,54.432
4,49.447,45.98,44.939,43.018,41.796,54.095,43.566,45.022,43.569,49.155
5,42.03,42.511,41.815,38.831,40.897,51.06,44.656,44.2,44.231,
6,43.02,42.831,41.127,40.558,41.053,47.181,43.601,50.803,43.856,
7,41.089,42.692,41.335,39.679,41.547,48.506,45.032,44.939,45.643,
8,42.633,41.83,42.712,36.818,37.913,46.063,44.667,44.971,47.042,
9,41.475,42.274,42.354,36.675,38.353,46.036,45.401,45.71,44.467,
10,44.057,44.371,42.789,37.57,38.419,45.889,45.101,43.736,45.481,
11,43.546,42.7,41.756,39.877,39.231,49.432,45.325,43.992,44.729,
12,48.006,42.774,42.2,38.663,41.854,47.748,47.795,44.819,47.512,
13,43.204,43.23,43.597,40.258,47.112,47.136,46.453,46.818,45.234,
14,43.852,42.455,44.306,41.52,39.178,49.324,45.397,44.848,44.529,
15,42.926,42.399,43.672,37.846,38.757,46.627,48.678,44.646,44.794,
16,41.968,42.679,43.487,36.685,38.503,47.823,48.663,43.85,44.273,
17,43.459,43.262,41.148,39.462,38.218,46.944,47.411,43.988,44.864,
18,42.451,42.008,41.981,40.543,39.153,49.9,47.201,43.293,45.653,
19,43.413,41.957,44.223,39.016,38.999,46.739,49.421,43.669,44.504,
20,45.008,43.807,42.787,40.511,39.89,94.736,48.201,139.508,48.167,
21,46.144,42.162,41.83,39.49,42.286,46.83,192.394,59.339,46.203,
22,110.06,44.058,41.912,37.178,41.746,51.222,50.162,49.118,1434.715,
23,47.74,89.726,41.948,38.014,42.043,53.641,53.21,49.772,47.003,
24,45.588,45.168,110.999,39.773,52.813,49.171,48.604,48.44,219.407,
