lap,starz,caveman,tub life,stingray,red baron,fette vette,per art,e house mustang
1,31.54,49.686,57.422,47.363,55.401,71.966,85.538,438.284
2,15.663,5.618,14.494,38.24,54.803,13.465,47.916,34.888
3,8.287,34.394,61.589,54.239,44.224,54.352,42.038,6.715
4,54.801,20.448,5.822,38.562,33.701,59.287,41.49,41.667
5,21.635,31.02,36.23,38.7,10.902,44.091,38.424,57.17
6,22.584,13.221,43.393,38.405,35.616,43.796,39.564,40.011
7,17.831,28.488,43.34,6.603,8.472,43.256,33.477,40.049
8,26.856,5.209,42.237,32.924,37.996,54.955,44.928,38.9
9,13.838,34.064,23.222,9.391,5.777,40.606,41.454,
10,30.232,12.434,22.161,29.983,40.941,54.128,40.558,
11,7.902,28.641,15.177,10.559,21.997,46.419,26.303,
12,35.857,17.8,8.213,29.64,44.552,53.315,39.929,
13,7.837,23.495,21.243,10.547,36.673,9.455,57.013,
14,35.427,40.601,9.201,29.748,7.136,44.001,40.028,
15,43.126,40.155,11.003,40.525,31.408,6.221,40.06,
16,43.947,40.602,23.582,39.909,44.577,43.149,38.91,
17,6.042,5.114,16.98,10.176,7.312,,,
18,36.998,36.995,26.449,30.891,29.442,,,
19,7.412,41.013,13.419,12.785,17.5,,,
20,37.872,5.094,31.257,30.311,10.165,,,
21,44.363,35.21,9.767,9.569,16.27,,,
22,44.893,39.874,42.57,29.715,44.476,,,
23,12.773,5.643,43.827,40.039,42.917,,,
24,5.054,35.257,7.337,7.224,,,,
25,5.859,39.004,36.265,31.685,,,,
26,20.858,13.119,,,,,,
27,6.897,,,,,,,
28,8.731,,,,,,,
29,28.628,,,,,,,
30,12.981,,,,,,,
