Lap,Red Baron,E House Mustang,Stingray,Caveman,Space Trash,Fette Vette,PER ART,Starz
1,106.664,105.146,120.261,105.597,107.647,106.82,108.48,107.489
2,16.656,16.741,14.317,17.045,17.247,19.258,16.85,19.046
3,14.717,15.394,14.833,15.58,17.615,17.437,20.644,18.064
4,15.387,15.699,14.929,16.035,21.645,17.78,14.052,18.098
5,14.727,17.515,17.28,14.724,17.422,17.167,16.141,21.036
6,15.331,15.598,14.772,15.745,18.989,16.764,14.931,18.911
7,15.38,15.957,15.11,16.154,17.073,18.289,14.169,18.029
8,15.14,16.728,14.245,17.345,16.267,17.793,14.448,
9,15.253,17.212,19.309,23.559,18.044,18.809,36.603,
10,17.195,18.775,14.739,16.687,16.73,17.646,14.536,
11,14.555,14.826,15.918,16.678,17.053,19.662,17.223,
12,16.653,16.921,15.344,15.621,16.64,17.718,24.973,
13,15.101,16.322,16.029,20.369,16.518,17.299,15.769,
14,15.6,17.286,15.681,16.531,15.839,18.63,15.457,
15,15.469,15.543,14.094,14.952,,,,
16,15.419,,,,,,,
