Lap,stingray,pillow fight,american flyer,mystery machine WI,starz,fette vette,party machine,tub life,lazygt,mini tesla,space trash,mystery machine NY
1,23.073,30.037,20.446,45.349,25.369,27.502,43.122,29.605,76.429,27.099,56.567,46.045
2,25.834,25.413,26.406,20.964,24.962,23.071,22.408,25.263,27.143,25.321,48.232,129.132
3,20.382,43.533,19.901,34.64,22.102,45.1,34.405,43.346,21.248,23.394,1576.591,59.212
4,33.254,19.789,34.565,21.579,29.655,21.192,23.39,24.554,21.413,28.654,27.984,33.67
5,22.003,21.582,22.288,19.861,22.095,20.332,23.276,22.594,41.366,21.833,28.037,30.417
6,22.903,367.298,20.941,40.34,21.777,44.851,43.093,40.002,37.304,22.764,26.467,32.169
7,43.467,22.993,38.653,27.685,40.601,26.601,43.048,45.441,18.811,48.262,27.978,31.193
8,40.414,20.841,34.661,26.682,34.511,27.895,22.624,22.987,24.04,39.79,353.415,33.097
9,22.016,19.704,19.847,20.919,21.774,21.026,22.307,23.499,20.795,23.284,25.562,29.808
10,19.683,19.848,22.459,20.699,24.772,20.431,24.381,23.164,18.962,21.415,24.701,762.892
11,19.642,18.705,18.787,22.192,22.837,22.359,24.187,25.201,19.899,22.41,24.662,
12,19.259,21.029,22.215,21.057,21.763,21.293,23.746,22.263,20.178,22.601,871.487,
13,19.399,20.448,20.966,21.122,21.64,21.61,23.907,24.703,18.962,22.031,25.446,
14,19.935,20.397,21.427,19.603,22.314,21.291,31.156,41.276,26.052,21.509,24.383,
15,20.443,22.552,33.873,21.159,23.952,94.609,22.925,1676.971,22.58,35.221,24.287,
16,35.725,19.97,30.827,31.407,25.026,21.715,28.356,26.878,20.181,21.578,24.353,
17,21.265,20.63,21.167,19.861,23.776,23.213,21.552,28.616,22.985,23.161,25.767,
18,158.526,20.105,28,22.917,28.038,21.17,27.897,25.047,20.92,25.396,30.137,
19,20.14,18.973,21.037,22.139,21.951,20.969,23.66,24.544,22.657,22.648,25.513,
20,19.422,20.15,18.695,22.865,23.205,21.223,21.628,25.472,18.899,21.515,25.785,
21,19.378,21.933,16.272,20.944,22.199,21.147,22.214,35.703,19.888,21.988,132.253,
22,19.708,20.968,17.272,19.627,21.806,20.588,22.352,25.076,18.731,20.44,24.992,
23,21.842,47.417,20.92,22.809,23.002,20.809,21.678,23.466,18.986,21.463,73.643,
24,21.207,76.904,19.707,19.975,21.929,20.73,22.637,32.858,20.401,20.467,26.197,
25,19.846,22.991,70.721,20.521,22.148,20.403,21.072,27.302,19.16,20.142,26.197,
26,19.075,19.895,18.548,22.172,22.098,21.852,24.342,23.979,19.407,20.611,,
27,19.312,18.95,23.13,20.046,135.521,20.453,23.507,30.499,19.751,22.098,,
28,19.53,36.867,18.758,19.442,22.294,20.654,22.194,23.83,25.989,21.579,,
29,19.456,24.219,15.694,21.594,22.179,20.558,21.262,22.869,19.484,21.228,,
30,19.524,18.681,16.604,21.387,21.397,21.058,22.783,23.662,19.176,20.696,,
31,21.617,18.702,20.432,20.939,21.78,21.382,22.553,22.706,19.482,19.977,,
32,23.587,20.912,20.737,20.179,24.765,20.68,21.446,25.741,19.729,21.487,,
33,20.739,20.331,21.141,20.437,72.487,21.272,23.341,26.546,20.532,20.782,,
34,97.059,22.225,18.757,20.249,24.359,23.276,27.099,24.217,20.496,20.275,,
35,20.795,20.792,21.257,21.818,25.051,23.39,21.809,23.999,21.265,21.562,,
36,20.107,38.379,22.304,20.281,23.729,108.801,65.808,23.457,22.374,21.422,,
37,31.174,26.937,24.832,21.73,31.391,23.432,26.187,23.044,25.208,24.712,,
38,26.498,20.228,61.189,24.069,27.34,23.196,25.715,24.939,126.334,19.834,,
39,19.578,20.522,16.548,19.926,24.96,34.095,28.076,99.201,20.671,110.709,,
40,19.053,28.135,17.631,244.408,24.173,22.54,31.056,22.15,21.464,23.039,,
41,20.604,18.816,17.416,21.688,24.587,23.615,25.539,22.505,35.03,28.249,,
42,23.646,21.624,16.829,21.854,26.416,23.738,25.843,35.848,20.616,26.132,,
43,20.667,18.551,21.202,25.525,26.408,22.409,25.64,23.959,21.566,21.835,,
44,25.582,21.688,28.323,55.568,30.981,23.2,25.536,22.643,21.911,21.479,,
45,40.746,19.521,24.75,183.772,27.716,25.077,24.125,21.52,24.152,22.544,,
46,20.877,17.915,18.958,21.462,24.362,40.794,28.575,21.656,359.709,21.894,,
47,19.714,18.648,18.696,21.392,25.337,24.381,196.325,21.432,20.691,21.48,,
48,26.619,20.54,20.081,21.128,23.863,23.067,24.36,21.756,18.674,33.061,,
49,21.604,20.834,21.68,20.37,26.127,24.504,24.421,21.106,20.386,30.019,,
50,19.547,19.06,21.488,22.363,24.081,24.452,24.248,21.495,24.575,21.661,,
51,19.29,18.641,22.837,20.991,25.591,23.367,23.233,21.381,31.447,22.684,,
52,19.244,18.804,30.961,22.604,24.69,23.058,25.133,21.898,20.136,28.788,,
53,19.879,34.256,18.841,26.008,26.552,24.048,24.188,21.131,21.967,23.518,,
54,23.309,28.564,21.011,21.578,23.739,23.758,27.483,21.179,18.46,22.737,,
55,21.821,18.341,18.994,20.582,25.593,24.676,24.638,20.865,24.704,21.153,,
56,19.665,18.275,23.504,21.106,23.476,24.443,28.433,21.973,24.154,21.053,,
57,18.727,20.75,21.03,20.447,26.527,25.143,23.874,22.822,19.936,22.191,,
58,19.173,27.201,17.628,20.41,27.759,23.106,23.512,26.403,20.82,22.525,,
59,19.474,21.074,17.179,20.776,28.732,24.388,35.662,28.296,87.792,21.87,,
60,19.638,18.647,20.995,20.439,26.127,25.197,24.134,24.806,22.495,22.938,,
61,20.031,18.411,21.03,20.219,25.074,24.398,24.814,21.541,20.451,,,
62,25.832,63.836,22.255,94.2,25.496,28.783,26.053,29.665,18.797,,,
63,30.141,22.881,21.742,22.886,25.354,23.735,58.658,24.826,20.268,,,
64,18.555,21.345,16.525,21.728,25.797,24.868,21.1,23.401,20.342,,,
65,20.515,24.387,17.133,22.332,25.448,26.606,21.74,21.025,19.111,,,
66,19.367,21.7,20.562,22.073,70.788,26.365,23.78,21.354,19.264,,,
67,25.308,22.769,18.378,20.236,26.004,23.549,30.342,21.316,19.73,,,
68,22.496,24.743,18.52,19.996,25.564,23.808,24.501,21.275,19.331,,,
69,18.822,22.666,16.912,20.326,24.363,79.521,22.73,21.915,20.2,,,
70,19.442,20.723,26.419,20.635,26.554,22.536,21.156,21.942,19.591,,,
71,91.276,20.323,19.752,20.212,26.426,21.237,20.915,21.261,20.969,,,
