lap,bumble beemer,natural log,ecto1,gecko kart,fastfood a la kart,raphael,pillow fight,gary the snail,drifty monster,dr quinn,lazy gt,batmobile,barbie escalade,candy kart,floridaman,tokyo drift
1.0,18.2,20.7,22.2,24.7,29.5,19.2,31.6,20.4,27.3,27.5,26.8,23.2,46.7,30.6,31.8,22.0
2.0,19.1,18.0,22.8,20.7,21.4,18.6,20.7,18.1,20.7,22.8,22.1,19.6,33.9,20.9,22.3,19.4
3.0,17.1,17.6,18.5,19.4,23.0,17.3,24.0,17.2,22.1,22.9,22.2,18.8,36.8,23.0,26.8,18.6
4.0,20.5,20.4,19.0,19.2,21.2,20.1,22.0,20.6,19.8,21.5,21.0,20.3,41.2,21.1,26.5,21.2
5.0,19.2,20.0,19.7,24.3,21.6,20.6,23.1,20.0,20.9,22.5,23.8,19.9,31.3,25.0,24.9,19.8
6.0,20.3,21.9,20.8,21.4,21.1,22.4,24.6,26.5,20.3,23.2,24.8,20.7,34.5,22.8,27.6,21.2
7.0,17.4,19.9,23.3,22.6,24.6,19.9,24.2,22.6,27.8,23.4,26.1,21.7,32.9,24.3,25.2,508.6
8.0,21.9,24.9,23.9,26.0,22.8,24.8,24.2,23.9,24.5,23.5,26.0,24.3,30.6,23.0,23.2,19.6
9.0,24.4,22.4,24.3,18.7,19.5,466.1,31.3,22.8,20.2,21.6,27.0,22.8,33.3,24.7,24.0,20.3
10.0,18.4,19.3,26.3,27.6,22.1,17.5,25.1,25.0,22.3,21.1,23.6,24.8,31.2,19.8,24.9,21.4
11.0,25.0,21.4,19.3,24.3,24.5,19.5,19.2,19.0,26.9,21.9,21.2,19.7,34.8,20.1,23.4,20.4
12.0,19.2,23.1,18.0,17.7,19.2,17.4,19.1,20.2,20.0,20.2,20.9,20.1,34.7,19.1,22.5,19.3
13.0,18.1,17.9,19.9,19.3,19.5,19.3,19.2,18.9,21.5,21.0,21.5,19.1,35.4,19.5,23.1,18.5
