lap,stingray,starz,lazy gt,bumble beemer,tub life,party machine,red baron,fette vette,pillow fight,american flyer,minitesla,mystery machine ny
1,35.736,20.894,38.245,35.237,24.328,27.378,30.171,21.967,27.635,33.797,42.856,34.995
2,20.418,20.878,18.838,20.279,21.746,22.99,22.723,20.309,20.42,18.872,52.504,34.581
3,43.452,28.61,42.834,42.489,49.794,48.07,46.406,173.156,48.278,43.84,302.16,37.193
4,22.796,30.742,24.683,22.129,22.959,23.719,24.723,22.557,22.941,23.033,21.422,
5,41.81,24.668,41.188,43.235,41.549,43.239,42.769,20.789,42.253,42.291,,
6,25.105,41.467,24.117,25.597,27.474,27.296,27.507,20.945,26.783,,,
7,23.267,23.859,23.498,30.852,23.83,26.968,24.016,45.43,30.272,,,
8,23.5,23.248,23.12,22.174,24.458,25.714,22.814,23.1,22.847,,,
9,17.766,23.159,21.506,21.246,21.651,22.533,22.23,21.946,22.502,,,
10,18.388,20.892,21.971,18.077,20.419,22.965,22.312,20.869,21.693,,,
11,19.868,20.624,45.709,46.371,45.908,37.607,44.521,20.361,,,,
12,37.372,45.687,23.55,23.285,24.852,24.152,23.055,,,,,
13,22.868,26.959,22.44,22.338,22.518,24.332,,,,,,
14,21.799,24.041,20.41,19.507,20.815,22.945,,,,,,
15,19.218,20.115,20.505,20.629,22.335,23.415,,,,,,
16,21.511,20.026,,,,,,,,,,
