lap,fubar 1,tokyo drift,e house mustang,livfree,dragula,stingray,red baron,mystery machine ny,minitesla,space trash,mattstang,dodge ram,dr quinn,apricar
1,70.535,69.783,44.12,72.002,71.852,43.39,70.418,75.402,71.481,74.157,69.739,73.518,71.024,70.97
2,21.15,19.792,44.12,23.167,22.697,43.4,19.987,23.822,31.701,26.084,20.964,35.953,21.555,21.344
3,20.588,18.939,19.359,19.765,19.49,19.253,19.509,23.185,18.561,23.779,20.472,19.951,20.297,19.893
4,21.462,17.705,17.389,20.697,21.988,17.941,21.316,25.865,18.526,31.518,20.639,22.851,19.867,34.1
5,21.343,26.598,28.834,20.374,41.558,20.691,20.759,22.516,25.312,25.78,21.692,20.619,21.173,
6,21.387,20.906,21.394,25.132,21.003,22.546,20.018,22.414,19.279,30.615,52.938,20.514,20.895,
7,20.052,41.28,21.738,23.978,23.717,18.94,20.644,24.209,26.945,26.383,19.042,22.418,21.02,
8,23.66,21.241,24.052,19.833,19.693,27.425,21.278,22.974,19.03,26.562,18.798,22.939,,
9,19.926,19.024,28.535,18.063,21.09,21.717,21.193,25.464,18.564,125.265,22.788,23.589,,
10,21.902,20.287,19.266,22.314,21.55,18.999,19.131,26.152,18.929,23.849,22.299,21.079,,
11,19.552,19.966,19.654,19.609,18.416,138.492,20.495,23.496,26.591,42.374,18.246,21.322,,
12,18.984,19.254,18.309,18.528,17.876,18.965,19.706,23.759,21.047,27.615,18.933,19.184,,
13,18.334,18.008,18.307,17.942,18.797,39.437,19.243,44.635,20.429,23.868,19.695,18.974,,
14,18.752,21.763,32.607,19.088,21.055,17.846,18.337,24.44,141.592,23.677,20.38,21.907,,
15,22.291,19.373,19.756,21.641,19.812,21.278,21.957,43.437,22.861,25.076,18.539,18.58,,
16,18.757,19.738,18.315,20.381,18.676,19.64,19.454,24.719,20.775,25.057,20.763,18.393,,
17,18.82,18.826,27.467,18.48,19.582,22.317,18.763,23.17,20.52,22.999,19.037,46.019,,
18,19.136,39.569,33.647,45.825,36.496,21.19,19.1,27.223,19.031,24.073,32.423,19.782,,
19,37.06,17.788,28.682,18.673,19.149,18.74,37.556,26.586,21.686,91.065,24.268,,,
20,18.766,21.769,23.281,73.818,19.421,19.081,19.462,37.525,20.04,35.81,19.681,,,
21,20.038,19.365,19.035,18.336,18.484,20.29,21.35,28.067,19.735,23.613,19.525,,,
22,18.599,22.406,22.031,22.087,22.67,18.399,19.85,23.005,19.594,23.057,313.117,,,
23,24.566,21.065,19.078,19.01,22,20.033,22.128,23.048,82.178,25.015,21.362,,,
24,19.74,18.557,19.494,19.639,22.22,16.554,21.336,24.815,27.224,24.089,20.658,,,
25,19.217,19.06,18.617,19.213,18.92,19.969,18.79,26.892,20.276,30.043,29.676,,,
26,18.463,19.28,20.278,18.595,19.18,16.999,19.122,24.54,18.558,,,,,
27,19.26,18.231,19.043,18.973,18.463,18.351,18.927,23.383,,,,,,
28,19.002,21.354,18.4,19.02,18.977,34.674,19.08,23.669,,,,,,
29,21.533,18.375,18.115,20.642,18.356,20.588,21.011,25.641,,,,,,
30,17.828,21.256,18.282,19.807,18.906,20.699,18.77,29.538,,,,,,
31,19.323,19.355,19.61,27.236,21.719,21.64,20.715,36.459,,,,,,
32,20.559,18.147,29.884,19.713,83.144,18.302,21.745,,,,,,,
33,18.894,27.932,19.899,21.07,20.546,19.553,,,,,,,,
34,27.661,19.86,18.221,25.06,19.835,21.388,,,,,,,,
35,21.719,17.112,19.041,22.219,20.473,16.789,,,,,,,,
36,18.328,20.979,21.386,19.935,21.595,,,,,,,,,
37,18.081,17.665,25.725,20.527,,,,,,,,,,
38,19.797,22.897,61.813,,,,,,,,,,,
39,20.797,18.897,,,,,,,,,,,,
40,22.872,16.808,,,,,,,,,,,,
