lap,e house mustang,caveman,per art,tub life,starz,red baron,fette vette,stingray,mattstang,space trash
1,52.505,51.506,50.135,58.088,70.69,49.562,56.182,46.607,54.539,115.358
2,39.928,39.034,39.013,43.629,49.298,41.735,45.33,39.836,40.53,56.941
3,39.317,39.401,40.454,44.266,50.303,504.741,47.016,38.721,53.019,51.65
4,39.157,38.992,38.642,42.772,50.046,40.125,45.048,40.416,42.053,49.538
5,43.17,37.604,40.424,90.687,49.302,41.023,44.133,39.191,44.759,47.843
6,42.722,38.08,40.372,45.053,48.6,39.854,45.081,38.684,45.405,56.7
7,40.052,40.255,41.429,47.959,50.578,41.527,74.856,39.019,44.777,112.927
8,39.459,40.668,45.426,75.008,50.287,40.197,46.733,38.41,53.426,649.973
9,43.015,47.252,42.898,44.53,51.072,40.493,46.15,43.203,42.804,146.708
10,40.876,41.575,43.665,52.411,49.293,39.536,121.037,39.743,43.298,50.704
11,41.437,39.162,39.837,44.49,48.172,41.256,45.577,40.46,39.8,47.765
12,39.803,39.164,60.361,44.02,88.181,39.987,45.933,40.596,41.978,
13,41.066,41.617,38.514,46.969,35.226,39.659,47.738,40.069,,
14,39.737,40.243,40.893,43.886,49.959,40.481,48.17,42.29,,
15,39.447,42.213,41.644,43.806,48.664,40.059,65.165,41.204,,
16,41.623,41.675,40.325,44.069,50.331,42.744,52.831,41.592,,
17,39.455,41.588,39.577,43.549,53.055,44.208,52.546,42.056,,
18,39.628,40.381,37.959,43.096,50.787,41.683,52.505,40.834,,
19,38.897,38.823,40.622,42.683,49.695,42.739,54.826,42.176,,
20,40.473,39.39,41.018,48.26,49.83,42.33,57.429,41.438,,
21,39.583,39.064,41.509,45.833,50.36,41.646,85.354,39.846,,
22,39.879,39.314,42.838,43.853,52.273,41.015,55.601,40.124,,
23,40.163,39.571,42.929,43.536,50.386,40.301,55.998,38.934,,
24,40.308,38.406,42.777,48.383,50.5,40.68,65.523,38.748,,
25,45.097,39.46,41.455,43.588,50.855,40.897,74.51,39.079,,
26,39.528,41.203,40.623,49.709,51.456,41.79,73.411,38.935,,
27,40.67,39.051,42.733,43.268,50.669,43.945,72.252,58.088,,
28,41.186,41.246,39.614,45.061,53.179,40.742,88.366,,,
29,39.394,40.417,39.67,54.39,55.186,40.82,,,,
30,41.958,38.529,43.428,44.946,57.877,,,,,
31,42.206,48.73,41.392,44.755,51.718,,,,,
32,40.762,49.751,40.982,43.101,51.68,,,,,
33,41.237,60.032,43.186,44.35,,,,,,
34,41.567,40.901,40.897,43.175,,,,,,
35,40.575,40.618,43.228,43.618,,,,,,
36,70.899,42.154,41.038,,,,,,,
37,41.917,40.03,42.21,,,,,,,
38,40.48,39.819,48.695,,,,,,,
39,40.378,45.491,46.679,,,,,,,
40,40.602,47.96,,,,,,,,
