lap,raphael,tokyo drift,batmobile,bumble beemer,fastfood a la kart,gecko kart,mystery machine wi,lazy gt,superbug,weinermobile,powerpuff girls,american flyer,space trash,unicorn kart,pillow fight
1,21.148,23.582,25.343,20.515,26.837,28.394,30.707,22.507,107.557,39.045,28.03,20.548,39.031,24.531,27.362
2,22.992,22.102,23.863,21.606,24.509,25.537,23.788,22.279,21.264,35.296,53.433,22.154,37.758,22.44,25.013
3,27.558,26.56,25.962,27.805,28.603,28.726,28.514,25.952,19.86,29.075,24.105,27.685,28.384,27.847,28.435
4,18.976,19.856,20.738,18.465,25.927,23.698,24.861,20.185,19.587,37.072,20.471,18.304,32.361,19.892,26.51
5,19.098,19.827,20.772,19.945,21.738,23.058,23.917,20.081,24.534,34.956,20.958,20.081,29.414,20.595,32.982
6,24.848,24.113,22.712,21.933,20.531,21.163,21.574,24.42,21.845,32.666,19.844,24.82,31.482,23.012,23.648
7,18.205,20.484,19.123,19.539,19.966,36.271,23.082,19.878,22.042,30.045,33.378,18.501,28.676,18.959,24.185
8,29.434,24.813,24.735,18.883,24.163,22.578,26.369,25.404,22.046,29.289,40.027,19.116,30.519,25.528,22.089
9,20.709,22.252,21.862,22.798,20.798,21.824,21.542,21.48,22.124,25.634,20.3,21.862,30.789,21.838,25.129
10,19.577,21.287,21.939,18.759,23.094,22.106,20.284,19.963,21.293,28.878,21.911,20.157,28.331,23.196,21.918
11,19.609,19.754,19.079,26.116,22.145,22.511,20.436,19.583,22.32,30.61,21.027,21.866,28.515,19.534,21.537
12,19.556,21.561,19.685,19.426,21.191,22.631,20.315,140.645,24.108,28.382,47.148,19.419,32.921,20.174,22.605
13,18.842,19.929,19.78,18.328,22.165,23.157,20.567,20.32,30.005,26.965,24.608,19.234,47.779,19.876,22.282
14,20.36,20.416,20.529,25.44,22.495,21.802,21.432,22.325,22.74,26.92,49.259,19.048,30.965,20.292,22.846
15,18.543,19.8,18.786,19.543,23.106,21.051,21.858,19.744,24.492,26.692,43.763,17.796,29.792,20.378,23.154
16,18.514,21.653,22.926,18.574,22.917,22.763,23.184,26.136,19.524,28.172,25.713,18.433,35.383,23.254,22.311
17,18.335,22.628,22.905,18.162,23.502,24.907,22.127,21.431,22.945,28.961,59.289,19.954,30.35,24.232,23.9
18,19.889,21.578,21.964,20.042,23.132,21.496,23.14,20.764,24.063,28.588,21.153,27.831,34.948,23.074,21.691
19,19.829,21.161,22.192,19.249,21.258,20.28,23.158,20.841,68.513,26.912,24.233,23.477,32.621,28.158,
20,24.625,19.496,19.162,27.772,24.424,21.671,23.636,20.585,20.366,29.306,24.57,183.554,31.874,19.907,
21,17.932,19.329,20.433,18.14,23.691,21.516,23.864,20.12,23.264,26.564,22.819,19.961,28.22,,
22,23.072,19.969,21.801,26.66,19.884,23.483,21.712,22.036,20.749,26.793,22.205,83.207,32.643,,
23,23.207,20.911,20.219,24.949,22.848,24.127,22.574,20.482,21.942,28.968,25.409,21.551,33.986,,
24,17.967,23.159,22.556,23.076,22.919,21.45,22.775,21.348,22.517,27.855,25.773,17.151,,,
25,20.737,21.459,21.505,20.769,20.553,21.016,21.506,22.736,21.009,25.893,26.542,,,,
26,19.788,19.918,19.014,20.156,21.309,21.505,25.014,20.956,21.724,,,,,,
27,18.314,19.908,18.895,20.372,21.801,26.722,24.823,19.878,21.441,,,,,,
28,18.902,21.342,21.054,30.34,22.369,22.624,24.047,20.444,,,,,,,
29,21.344,19.114,18.871,25.063,22.713,21.184,22.855,,,,,,,,
30,18.814,21.552,21.557,23.753,20.983,20.054,24.358,,,,,,,,
31,21.167,22.538,22.448,21.385,19.835,21.17,23.441,,,,,,,,
32,20.951,20.595,20.744,20.519,20.511,23.041,23.309,,,,,,,,
33,20.568,20.21,20.522,20.18,26.074,,,,,,,,,,
34,19.696,20.309,19.872,20.437,,,,,,,,,,,
35,19.966,,,,,,,,,,,,,,
